symbol	Ratio L/H normalized S1.1	Ratio L/H normalized S1.2	Ratio L/H normalized S1.3	Ratio L/H normalized S1.4	Ratio L/H normalized S1.W	Ratio L/H normalized S1.X	Ratio L/H normalized S1.Y	Ratio L/H normalized S1.Z	Ratio L/H normalized S2.1	Ratio L/H normalized S2.2	Ratio L/H normalized S2.3	Ratio L/H normalized S2.4	Ratio L/H normalized S2.W	Ratio L/H normalized S2.X	Ratio L/H normalized S2.Y	Ratio L/H normalized S2.Z	Ratio L/H normalized S3.1	Ratio L/H normalized S3.2	Ratio L/H normalized S3.3	Ratio L/H normalized S3.4	Ratio L/H normalized S3.W	Ratio L/H normalized S3.X	Ratio L/H normalized S3.Y	Ratio L/H normalized S3.Z	Ratio L/H normalized S4.1	Ratio L/H normalized S4.2	Ratio L/H normalized S4.3	Ratio L/H normalized S4.4	Ratio L/H normalized S4.W	Ratio L/H normalized S4.X	Ratio L/H normalized S4.Y	Ratio L/H normalized S4.Z	Ratio L/H normalized S8.1	Ratio L/H normalized S8.2	Ratio L/H normalized S8.3	Ratio L/H normalized S8.4	Ratio L/H normalized S8.W	Ratio L/H normalized S8.X	Ratio L/H normalized S8.Y	Ratio L/H normalized S8.Z	Ratio L/H normalized S9.1	Ratio L/H normalized S9.2	Ratio L/H normalized S9.3	Ratio L/H normalized S9.4	Ratio L/H normalized S9.W	Ratio L/H normalized S9.X	Ratio L/H normalized S9.Y	Ratio L/H normalized S9.Z
AACS																				0.853606487	1.18044243	1.02410749		1.444418766																								
AAK1			1.14173498					1.186605596	0.725847427	0.833819728	0.863557858	0.912242292	0.736051818	0.616674889	0.860437102	0.606906597	0.569022419		0.898391879	0.938086304	0.723431961	0.61896509	0.917262888	0.526343492	0.708165144	0.84645336	0.741125028	0.903097625	1.232772011	1.225820687	1.268166485	1.136854551	0.878889084	0.899442346	0.960338039	1.072616111	1.015403674	1.274080114	1.211827436	1.004247969	1.274551039	1.093601339	1.51194436	1.189980365	1.015455229	0.790513834	1.031278682	1.062507305
AAMDC	0.654664484	0.669388848	0.604302635	0.616941206	0.763825237	0.741729714	0.770594128	0.797193878	0.808538163	1.323609218	1.678725512	1.50073536			1.464000234	1.414367141	1.2000048	1.931956492	1.346311779	1.01408565	1.287614437	1.041016032	0.523313622		1.037484308	1.075476974	1.084939949	1.157019056	0.81366965	1.328056522		1.104520804	0.814133355	0.773993808		0.753295669		0.857559386		0.964599209	0.741894799	0.636172785	0.858295425	0.77597579	0.876270592	0.802632635	0.738879858	0.803600129
AARS	0.867904878	0.857706493	1.38320239	1.004399269	1.001863466	1.137242415	1.713091445	1.383546861	1.702272534	3.445424476		6.075703263		1.601896646	14.97656168	14.12170082	0.69881202	0.664893617	0.769763683	0.878889084	0.889205051	0.842318059	0.888651915	0.889838049	0.600997656	0.45045045	0.686530276	0.716589036	0.306269333	0.518833662	0.707013575	0.902690016	0.258284475	0.686153424	1.110432513	0.651380928	3.253090436	4.463488663	2.829895011	3.477414195							1.387308898	1.978121971
AASDHPPT																	0.888336146	0.945715907	0.927643785		1.048305938	0.893335716	1.171056176	1.08524608																								
AATF	1.722712238	1.175654546		1.650600819													1.194486251		1.199558562	0.717051484	0.860881543	1.053985118	0.654022237	0.662690524	1.097357563	1.193061156	0.913993236			1.014703047		1.185986385	0.803987779	0.700231076	1.087322902	0.552364118	1.500240038	1.95993885	0.886289108	1.485398532		0.94055681		1.691560803	1.955110659	1.215953307	2.435638259	1.235132097
ABAT				0.968429208	0.988435307	1.220598826	1.483745567																																									
ABCE1	1.152432208	0.876347384	1.523600573	0.826377985			1.115001227	0.904895485									0.880979649	0.870625109	0.988435307	1.048470805	1.043754175	1.082180811	1.132348945	1.237072591	0.726269155	0.931272118	0.935716291	0.815461143	0.307380199	0.6592827	0.729288215	0.783085356	0.492465281		1.953468383	1.062812201	4.93315574	6.334726973	3.787878788	5.154373486		1.19246363	4.288716387				3.585643085	1.360914535
ABCF1												1.304767621									1.046539617	1.175267667	1.740371395	1.265918931	1.286521118	1.287084111		1.851851852	0.834585211			1.417977114		1.9532776										1.906541343				1.354866681
ABCF2																		1.573069058			0.825082508	1.210155626	1.167965054	1.122851144									0.769882208		2.276400555	1.922781111		1.774433956										
