Symbol	COLO320DM	UO-31	OVCAR-4	ABC-1	RKO
AACS	0	0.943116776	0	0	0
AAK1	1.264771587	1.079476456	0.080845082	0.187231049	0.193053452
AAMDC	-0.116609948	-0.40803659	0.085493567	0.576474989	-0.592415965
AARS	0.468454573	0.273755311	0.416260044	0.308657345	0.899533324
AASDHPPT	0	-0.579142578	0	0	0
AATF	-0.57132161	0.358907211	-0.915850983	0	0.124405977
ABAT	1.080008598	0	0	0	0
ABCE1	0.212035455	0.217702209	0.079280475	0	1.928351004
ABCF1	0	0	-0.258212016	1.419329997	-1.908990656
ABCF2	0	-1.642369685	0	0	1.972656236
ABCF3	0	0	0	1.239875409	0
ABHD11	0	0	1.118111695	0	0
ABHD12	0	1.160385354	0	0	0
ABHD14B	0	-0.335806635	0	0	0
ABLIM1	-0.22355619	0	-0.535631036	0.126629777	-0.174907357
ABR	0	0	0	0	0
ABRACL	0.636653676	0.925621061	0.410909683	0.578259696	0.433499622
ACAA1	0	1.662673477	-0.751971066	0	0
ACAA2	1.099636805	1.58090597	0	0	1.65273219
ACACA	0	0.80464791	0	0	0
ACAD9	0	-1.886550207	0.566882341	0	0
ACADM	0.286668859	0.786803293	-0.090585122	0	0.480198007
ACADVL	0	0.306298643	0.367247717	0	0.594066405
ACAT1	0.219845973	0.425083862	-0.128106931	0	0.954258759
ACAT2	0.70210489	0.708349324	0.511423328	0	0.954146673
ACBD3	0	1.788036029	0	0	0
ACBD7	0.227075155	0	-0.957823271	1.343090525	0
ACIN1	0.004142517	-0.603722416	-0.222993178	0.186164166	-0.290605758
ACLY	0.404610746	0.345575404	0.266850353	1.929621875	1.019779899
ACO2	2.163377748	0.392382158	0.420370406	0	0
ACOT7	0.408699492	0.251455054	1.16367641	0	1.007410876
ACOT9	0	0	1.404715482	0	0
ACP1	0	0.679336612	1.234125415	0.660518206	0
ACSL1	0	-0.629565043	0	0	0
ACSL4	0	0.859909448	0	0	0
ACTB	0.136743375	0.298759	0.486005098	1.471398087	0.923341474
ACTBL2	0	0.111550607	1.649637592	0	1.142090472
ACTL6A	0.861882476	-0.184746562	1.768628088	0	0
ACTN1	-2.218917918	0.214160173	0.362063482	0	1.037642495
ACTN4	0.379806173	0.141571555	0.34773654	1.699625743	0.660699341
ACTR1A	-0.194906631	0.187239549	0.84764928	0	1.490868963
ACTR2	0	0.106565856	0.760087061	0	1.424163065
ACTR3	0	0.418154693	0.450704168	0	0.949999964
ADA	0	0	0.063144053	0	-0.765526599
ADAM10	0	0.013367795	0	2.62083764	0
ADAM17	0	-0.627755403	0	0	-2.381714841
ADAM9	0	0	0	-1.290778462	0
ADAR	1.028117513	0.585867157	0.224392663	0.478486315	0.352063684
ADD1	0	0	2.472568593	0	0
ADD2	-1.053837111	0	0	0	0
ADD3	0	0	-0.809261406	0.468608043	0
ADH5	0.128701752	-0.228174944	-0.006409388	0	0.829389108
ADI1	-0.814526975	-0.039576996	0.373506583	1.832320803	0
ADIPOR1	0	0	0	0	0
ADIRF	0	0	0	0	-0.143186668
